index,id,title,artists,popularity,release_date,duration_s,danceability,energy,key,loudness,mode,acousticness,instrumentalness,speechiness,liveness,valence,tempo,time_signature,label,cluster_label
118,099N03I7REfkLrIZtsAUJy,Autumn Leaves,['The Cannonball Adderley Quintet'],9,2011-01-01,212.56,0.373,0.402,7,11.825,0,0.689,0.875,0.0331,0.0756,0.583,120.686,4,1,1
54,3KZBXVzHFGqH6iCskJXDu4,BHAVI | Mission 09,Bhavi,40,2022-08-11,187.933,0.657,0.48,10,7.339,0,0.128,1.02e-06,0.0859,0.376,0.492,124.045,4,0,0
94,444LRhxSirslV3xR6uwDr1,SUSY 420,DT.Bilardo,36,2022-04-05,192.8,0.856,0.594,11,4.419,1,0.426,0.0,0.277,0.176,0.744,75.014,4,0,0
71,45hgQwEDFGkSQK21fTjaq7,Jungle RKT - Remix,Patto Remix,10,2022-04-17,174.031,0.744,0.518,9,10.303,1,0.0711,0.0,0.366,0.0934,0.796,79.963,4,0,0
96,3BNMoh1385x9PwN9iE7kD0,Engafado,L-Gante,29,2022-05-04,182.279,0.604,0.675,11,5.478,1,0.405,2.84e-05,0.18,0.265,0.695,157.983,4,0,0
65,3qZRT8P3XzmoHqkXYCybd4,Angelito Sin Alas (feat. Juan Magán) - Remix,Juan Magán,52,2012-07-24,205.056,0.731,0.91,7,4.625,1,0.258,0.0,0.068,0.103,0.888,120.031,4,0,0
44,0x6UyfOikAQ7GpiGaYaPey,Ella No Sigue Modas,Don Omar,47,2012-05-14,234.0,0.692,0.852,0,4.587,1,0.0093,0.00035,0.0686,0.0225,0.895,128.026,4,0,0
41,1jQtC8sF34LjlsH6TP8D5K,The Crying Game,['Dave Berry'],35,1964-01-01,165.075,0.501,0.237,0,14.634,1,0.693,0.0,0.0264,0.103,0.133,92.176,4,1,1
197,3DdqJR9hrVAaXQRwJkkJP6,Dancin' Shoes,['Nigel Olsson'],37,1978-01-01,245.066,0.329,0.383,3,13.55,1,0.0178,2.41e-05,0.0341,0.0446,0.521,202.001,3,1,1
373,3U3vzdfLNXdNGfMEkUwvz2,Michèle,['Gérard Lenorman'],40,1976-02-23,188.6,0.711,0.394,9,10.756,0,0.764,0.0,0.0347,0.0743,0.565,116.366,4,1,1
185,0MCEM7WuIw4tS9ih4HGE1S,Gun,['Gil Scott-Heron'],47,1981-03-01,239.906,0.821,0.49,3,10.909,1,0.497,0.00775,0.0962,0.294,0.96,105.022,4,1,0
